Namespace(all_use=True, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record\\mnist_usps_all_use\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=True, optimizer='adam', rampup_length=10, resume_epoch=0, save_epoch_interval=20, save_model=False, seed=1, source='mnist', source_loader='mcd', supplementary_info='', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:22 [batch_index:0]	Loss1:0.196471	Loss2:0.207520	Discrepancy:0.042769	Consistency weight:1.000000	Consistency loss_t1:0.073452	Consistency loss_t2:0.070647	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.000000	Resample Pool Num:664
Train Epoch:23 [batch_index:0]	Loss1:0.279199	Loss2:0.275174	Discrepancy:0.043460	Consistency weight:1.000000	Consistency loss_t1:0.070141	Consistency loss_t2:0.070491	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.000000	Resample Pool Num:648
Train Epoch:24 [batch_index:0]	Loss1:0.235238	Loss2:0.248045	Discrepancy:0.040971	Consistency weight:1.000000	Consistency loss_t1:0.072073	Consistency loss_t2:0.072857	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.000000	Resample Pool Num:666
Train Epoch:25 [batch_index:0]	Loss1:0.227456	Loss2:0.216125	Discrepancy:0.040490	Consistency weight:1.000000	Consistency loss_t1:0.073565	Consistency loss_t2:0.069698	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.000000	Resample Pool Num:602
Train Epoch:26 [batch_index:0]	Loss1:0.219315	Loss2:0.271412	Discrepancy:0.040268	Consistency weight:1.000000	Consistency loss_t1:0.079700	Consistency loss_t2:0.074446	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.000000	Resample Pool Num:668
Train Epoch:27 [batch_index:0]	Loss1:0.238441	Loss2:0.178672	Discrepancy:0.029814	Consistency weight:1.000000	Consistency loss_t1:0.081543	Consistency loss_t2:0.081478	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.000000	Resample Pool Num:619
Train Epoch:28 [batch_index:0]	Loss1:0.166123	Loss2:0.195464	Discrepancy:0.032075	Consistency weight:1.000000	Consistency loss_t1:0.078626	Consistency loss_t2:0.078682	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.000000	Resample Pool Num:600
Train Epoch:29 [batch_index:0]	Loss1:0.220890	Loss2:0.169107	Discrepancy:0.028013	Consistency weight:1.000000	Consistency loss_t1:0.083012	Consistency loss_t2:0.079559	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.000000	Resample Pool Num:601
Train Epoch:30 [batch_index:0]	Loss1:0.218816	Loss2:0.156496	Discrepancy:0.038277	Consistency weight:1.000000	Consistency loss_t1:0.077331	Consistency loss_t2:0.078280	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.000000	Resample Pool Num:612
Train Epoch:31 [batch_index:0]	Loss1:0.149358	Loss2:0.181738	Discrepancy:0.030388	Consistency weight:1.000000	Consistency loss_t1:0.086777	Consistency loss_t2:0.080738	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.000000	Resample Pool Num:588
