Namespace(all_use=False, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record\\mnist_usps_not_all\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=True, optimizer='adam', rampup_length=30, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='mnist', source_loader='mcd', supplementary_info='solver_fixed.py', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency=0.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:1 [batch_index:0/16]	Loss1:2.357521	Loss2:2.458464	Discrepancy:0.056893	Consistency weight:0.006738	Consistency loss_t1:0.002629	Consistency loss_t2:0.003752	Discrepancy_Resample Weight:0.006738	Resample Discrepancy0.000000	Resample Pool Num:105
Train Epoch:2 [batch_index:0/16]	Loss1:2.240555	Loss2:2.222249	Discrepancy:0.057365	Consistency weight:0.009351	Consistency loss_t1:0.004952	Consistency loss_t2:0.005612	Discrepancy_Resample Weight:0.009351	Resample Discrepancy0.055614	Resample Pool Num:1547
Train Epoch:3 [batch_index:0/16]	Loss1:2.124836	Loss2:2.083845	Discrepancy:0.054521	Consistency weight:0.012835	Consistency loss_t1:0.004395	Consistency loss_t2:0.004390	Discrepancy_Resample Weight:0.012835	Resample Discrepancy0.054178	Resample Pool Num:1535
Train Epoch:4 [batch_index:0/16]	Loss1:1.950034	Loss2:1.969766	Discrepancy:0.053854	Consistency weight:0.017422	Consistency loss_t1:0.005198	Consistency loss_t2:0.005161	Discrepancy_Resample Weight:0.017422	Resample Discrepancy0.052790	Resample Pool Num:1440
Train Epoch:5 [batch_index:0/16]	Loss1:1.726433	Loss2:1.790807	Discrepancy:0.057046	Consistency weight:0.023387	Consistency loss_t1:0.007194	Consistency loss_t2:0.005616	Discrepancy_Resample Weight:0.023387	Resample Discrepancy0.055752	Resample Pool Num:1296
Train Epoch:6 [batch_index:0/16]	Loss1:1.673443	Loss2:1.792880	Discrepancy:0.057267	Consistency weight:0.031048	Consistency loss_t1:0.007221	Consistency loss_t2:0.006783	Discrepancy_Resample Weight:0.031048	Resample Discrepancy0.054165	Resample Pool Num:1257
Train Epoch:7 [batch_index:0/16]	Loss1:1.603261	Loss2:1.656394	Discrepancy:0.059335	Consistency weight:0.040762	Consistency loss_t1:0.008709	Consistency loss_t2:0.008137	Discrepancy_Resample Weight:0.040762	Resample Discrepancy0.054506	Resample Pool Num:1180
Train Epoch:8 [batch_index:0/16]	Loss1:1.526638	Loss2:1.510567	Discrepancy:0.055833	Consistency weight:0.052925	Consistency loss_t1:0.010514	Consistency loss_t2:0.010211	Discrepancy_Resample Weight:0.052925	Resample Discrepancy0.057597	Resample Pool Num:1069
Train Epoch:9 [batch_index:0/16]	Loss1:1.438414	Loss2:1.381275	Discrepancy:0.057775	Consistency weight:0.067956	Consistency loss_t1:0.010679	Consistency loss_t2:0.010166	Discrepancy_Resample Weight:0.067956	Resample Discrepancy0.057941	Resample Pool Num:989
Train Epoch:10 [batch_index:0/16]	Loss1:1.316935	Loss2:1.284814	Discrepancy:0.060444	Consistency weight:0.086294	Consistency loss_t1:0.012278	Consistency loss_t2:0.013196	Discrepancy_Resample Weight:0.086294	Resample Discrepancy0.057815	Resample Pool Num:912
Train Epoch:11 [batch_index:0/16]	Loss1:1.322652	Loss2:1.200473	Discrepancy:0.058775	Consistency weight:0.108368	Consistency loss_t1:0.016841	Consistency loss_t2:0.015703	Discrepancy_Resample Weight:0.108368	Resample Discrepancy0.061057	Resample Pool Num:881
Train Epoch:12 [batch_index:0/16]	Loss1:1.200207	Loss2:1.190878	Discrepancy:0.061644	Consistency weight:0.134585	Consistency loss_t1:0.015936	Consistency loss_t2:0.018262	Discrepancy_Resample Weight:0.134585	Resample Discrepancy0.064250	Resample Pool Num:812
Train Epoch:13 [batch_index:0/16]	Loss1:1.105632	Loss2:1.090083	Discrepancy:0.064502	Consistency weight:0.165299	Consistency loss_t1:0.017873	Consistency loss_t2:0.018475	Discrepancy_Resample Weight:0.165299	Resample Discrepancy0.066598	Resample Pool Num:748
Train Epoch:14 [batch_index:0/16]	Loss1:1.109620	Loss2:1.116611	Discrepancy:0.061716	Consistency weight:0.200778	Consistency loss_t1:0.019821	Consistency loss_t2:0.020127	Discrepancy_Resample Weight:0.200778	Resample Discrepancy0.065816	Resample Pool Num:737
Train Epoch:15 [batch_index:0/16]	Loss1:1.027473	Loss2:1.007471	Discrepancy:0.064164	Consistency weight:0.241177	Consistency loss_t1:0.024087	Consistency loss_t2:0.022131	Discrepancy_Resample Weight:0.241177	Resample Discrepancy0.064967	Resample Pool Num:713
Train Epoch:16 [batch_index:0/16]	Loss1:0.967188	Loss2:0.807997	Discrepancy:0.064480	Consistency weight:0.286505	Consistency loss_t1:0.025457	Consistency loss_t2:0.023858	Discrepancy_Resample Weight:0.286505	Resample Discrepancy0.068343	Resample Pool Num:713
Train Epoch:17 [batch_index:0/16]	Loss1:0.906205	Loss2:0.927255	Discrepancy:0.066130	Consistency weight:0.336590	Consistency loss_t1:0.025323	Consistency loss_t2:0.025731	Discrepancy_Resample Weight:0.336590	Resample Discrepancy0.061669	Resample Pool Num:685
