Namespace(all_use=False, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record\\mnist_usps_not_all\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=True, optimizer='adam', rampup_length=30, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='mnist', source_loader='mcd', supplementary_info='solver_fixed.py', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency=1.0, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:21 [batch_index:0/16]	Loss1:0.660312	Loss2:0.683972	Discrepancy:0.064432	Consistency weight:0.573753	Consistency loss_t1:0.038397	Consistency loss_t2:0.034481	Discrepancy_Resample Weight:0.573753	Resample Discrepancy0.065087	Resample Pool Num:523
Train Epoch:22 [batch_index:0/16]	Loss1:0.647714	Loss2:0.619151	Discrepancy:0.063887	Consistency weight:0.637628	Consistency loss_t1:0.037181	Consistency loss_t2:0.038429	Discrepancy_Resample Weight:0.637628	Resample Discrepancy0.072707	Resample Pool Num:473
Train Epoch:23 [batch_index:0/16]	Loss1:0.710439	Loss2:0.695569	Discrepancy:0.062590	Consistency weight:0.700784	Consistency loss_t1:0.042971	Consistency loss_t2:0.040601	Discrepancy_Resample Weight:0.700784	Resample Discrepancy0.071806	Resample Pool Num:464
Train Epoch:24 [batch_index:0/16]	Loss1:0.606211	Loss2:0.633851	Discrepancy:0.061128	Consistency weight:0.761685	Consistency loss_t1:0.041580	Consistency loss_t2:0.039643	Discrepancy_Resample Weight:0.761685	Resample Discrepancy0.070582	Resample Pool Num:416
Train Epoch:25 [batch_index:0/16]	Loss1:0.559992	Loss2:0.548013	Discrepancy:0.063060	Consistency weight:0.818731	Consistency loss_t1:0.040886	Consistency loss_t2:0.038170	Discrepancy_Resample Weight:0.818731	Resample Discrepancy0.068754	Resample Pool Num:424
Train Epoch:26 [batch_index:0/16]	Loss1:0.527299	Loss2:0.538654	Discrepancy:0.061568	Consistency weight:0.870325	Consistency loss_t1:0.042943	Consistency loss_t2:0.044162	Discrepancy_Resample Weight:0.870325	Resample Discrepancy0.066637	Resample Pool Num:409
Train Epoch:27 [batch_index:0/16]	Loss1:0.552579	Loss2:0.533582	Discrepancy:0.065631	Consistency weight:0.914947	Consistency loss_t1:0.044571	Consistency loss_t2:0.046272	Discrepancy_Resample Weight:0.914947	Resample Discrepancy0.069248	Resample Pool Num:405
Train Epoch:28 [batch_index:0/16]	Loss1:0.529361	Loss2:0.576257	Discrepancy:0.060508	Consistency weight:0.951229	Consistency loss_t1:0.043594	Consistency loss_t2:0.046767	Discrepancy_Resample Weight:0.951229	Resample Discrepancy0.072227	Resample Pool Num:382
Train Epoch:29 [batch_index:0/16]	Loss1:0.500852	Loss2:0.446119	Discrepancy:0.061419	Consistency weight:0.978023	Consistency loss_t1:0.050116	Consistency loss_t2:0.049229	Discrepancy_Resample Weight:0.978023	Resample Discrepancy0.069251	Resample Pool Num:370
Train Epoch:30 [batch_index:0/16]	Loss1:0.461502	Loss2:0.448789	Discrepancy:0.064889	Consistency weight:0.994460	Consistency loss_t1:0.053746	Consistency loss_t2:0.048302	Discrepancy_Resample Weight:0.994460	Resample Discrepancy0.072728	Resample Pool Num:353
Train Epoch:31 [batch_index:0/16]	Loss1:0.369467	Loss2:0.410937	Discrepancy:0.058650	Consistency weight:1.000000	Consistency loss_t1:0.052846	Consistency loss_t2:0.050736	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.068876	Resample Pool Num:372
Train Epoch:32 [batch_index:0/16]	Loss1:0.452063	Loss2:0.375507	Discrepancy:0.057923	Consistency weight:1.000000	Consistency loss_t1:0.055439	Consistency loss_t2:0.051658	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.067128	Resample Pool Num:332
Train Epoch:33 [batch_index:0/16]	Loss1:0.457974	Loss2:0.455496	Discrepancy:0.058364	Consistency weight:1.000000	Consistency loss_t1:0.056300	Consistency loss_t2:0.053943	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.072403	Resample Pool Num:332
Train Epoch:34 [batch_index:0/16]	Loss1:0.374002	Loss2:0.375295	Discrepancy:0.053698	Consistency weight:1.000000	Consistency loss_t1:0.059929	Consistency loss_t2:0.055389	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.072222	Resample Pool Num:342
Train Epoch:35 [batch_index:0/16]	Loss1:0.411124	Loss2:0.359872	Discrepancy:0.058845	Consistency weight:1.000000	Consistency loss_t1:0.058056	Consistency loss_t2:0.058824	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.069942	Resample Pool Num:293
Train Epoch:36 [batch_index:0/16]	Loss1:0.450503	Loss2:0.364930	Discrepancy:0.054394	Consistency weight:1.000000	Consistency loss_t1:0.059615	Consistency loss_t2:0.058209	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.077297	Resample Pool Num:298
Train Epoch:37 [batch_index:0/16]	Loss1:0.350022	Loss2:0.364123	Discrepancy:0.051374	Consistency weight:1.000000	Consistency loss_t1:0.061995	Consistency loss_t2:0.061133	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.066626	Resample Pool Num:281
Train Epoch:38 [batch_index:0/16]	Loss1:0.407542	Loss2:0.347606	Discrepancy:0.055365	Consistency weight:1.000000	Consistency loss_t1:0.061880	Consistency loss_t2:0.059981	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.072712	Resample Pool Num:271
Train Epoch:39 [batch_index:0/16]	Loss1:0.344544	Loss2:0.347588	Discrepancy:0.055154	Consistency weight:1.000000	Consistency loss_t1:0.064028	Consistency loss_t2:0.058254	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.072521	Resample Pool Num:290
Train Epoch:40 [batch_index:0/16]	Loss1:0.397498	Loss2:0.355045	Discrepancy:0.050651	Consistency weight:1.000000	Consistency loss_t1:0.062354	Consistency loss_t2:0.062881	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.068887	Resample Pool Num:282
Train Epoch:41 [batch_index:0/16]	Loss1:0.286657	Loss2:0.340034	Discrepancy:0.057403	Consistency weight:1.000000	Consistency loss_t1:0.062698	Consistency loss_t2:0.065604	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.075904	Resample Pool Num:265
Train Epoch:42 [batch_index:0/16]	Loss1:0.304528	Loss2:0.272422	Discrepancy:0.047048	Consistency weight:1.000000	Consistency loss_t1:0.067973	Consistency loss_t2:0.066482	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.070836	Resample Pool Num:247
Train Epoch:43 [batch_index:0/16]	Loss1:0.321051	Loss2:0.338033	Discrepancy:0.050078	Consistency weight:1.000000	Consistency loss_t1:0.070389	Consistency loss_t2:0.072140	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.071146	Resample Pool Num:257
Train Epoch:44 [batch_index:0/16]	Loss1:0.335302	Loss2:0.296263	Discrepancy:0.047233	Consistency weight:1.000000	Consistency loss_t1:0.068443	Consistency loss_t2:0.070447	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.080513	Resample Pool Num:238
Train Epoch:45 [batch_index:0/16]	Loss1:0.315696	Loss2:0.269764	Discrepancy:0.046107	Consistency weight:1.000000	Consistency loss_t1:0.070984	Consistency loss_t2:0.069580	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.071871	Resample Pool Num:239
Train Epoch:46 [batch_index:0/16]	Loss1:0.285074	Loss2:0.300460	Discrepancy:0.048410	Consistency weight:1.000000	Consistency loss_t1:0.071829	Consistency loss_t2:0.072467	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.072456	Resample Pool Num:263
Train Epoch:47 [batch_index:0/16]	Loss1:0.246993	Loss2:0.272561	Discrepancy:0.042776	Consistency weight:1.000000	Consistency loss_t1:0.070605	Consistency loss_t2:0.070439	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.068950	Resample Pool Num:233
Train Epoch:48 [batch_index:0/16]	Loss1:0.187338	Loss2:0.194198	Discrepancy:0.047247	Consistency weight:1.000000	Consistency loss_t1:0.069868	Consistency loss_t2:0.074607	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.072704	Resample Pool Num:215
Train Epoch:49 [batch_index:0/16]	Loss1:0.238117	Loss2:0.230457	Discrepancy:0.044933	Consistency weight:1.000000	Consistency loss_t1:0.073544	Consistency loss_t2:0.074517	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.069946	Resample Pool Num:244
Train Epoch:50 [batch_index:0/16]	Loss1:0.218574	Loss2:0.273439	Discrepancy:0.054471	Consistency weight:1.000000	Consistency loss_t1:0.074006	Consistency loss_t2:0.074961	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.074836	Resample Pool Num:229
Train Epoch:51 [batch_index:0/16]	Loss1:0.219670	Loss2:0.207817	Discrepancy:0.043804	Consistency weight:1.000000	Consistency loss_t1:0.076745	Consistency loss_t2:0.070473	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.075407	Resample Pool Num:226
Train Epoch:52 [batch_index:0/16]	Loss1:0.276899	Loss2:0.227310	Discrepancy:0.044526	Consistency weight:1.000000	Consistency loss_t1:0.074917	Consistency loss_t2:0.074691	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.068791	Resample Pool Num:197
Train Epoch:53 [batch_index:0/16]	Loss1:0.193479	Loss2:0.174308	Discrepancy:0.044504	Consistency weight:1.000000	Consistency loss_t1:0.074250	Consistency loss_t2:0.078221	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.067213	Resample Pool Num:204
Train Epoch:54 [batch_index:0/16]	Loss1:0.212064	Loss2:0.221617	Discrepancy:0.043833	Consistency weight:1.000000	Consistency loss_t1:0.070882	Consistency loss_t2:0.073586	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.068232	Resample Pool Num:222
Train Epoch:55 [batch_index:0/16]	Loss1:0.232184	Loss2:0.175177	Discrepancy:0.049224	Consistency weight:1.000000	Consistency loss_t1:0.074781	Consistency loss_t2:0.076719	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.075203	Resample Pool Num:225
Train Epoch:56 [batch_index:0/16]	Loss1:0.277256	Loss2:0.185997	Discrepancy:0.041618	Consistency weight:1.000000	Consistency loss_t1:0.078503	Consistency loss_t2:0.078211	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.072358	Resample Pool Num:206
Train Epoch:57 [batch_index:0/16]	Loss1:0.196431	Loss2:0.188500	Discrepancy:0.041772	Consistency weight:1.000000	Consistency loss_t1:0.076163	Consistency loss_t2:0.075655	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.073431	Resample Pool Num:219
Train Epoch:58 [batch_index:0/16]	Loss1:0.160743	Loss2:0.187154	Discrepancy:0.040181	Consistency weight:1.000000	Consistency loss_t1:0.078928	Consistency loss_t2:0.078617	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.064223	Resample Pool Num:215
Train Epoch:59 [batch_index:0/16]	Loss1:0.221859	Loss2:0.234263	Discrepancy:0.039920	Consistency weight:1.000000	Consistency loss_t1:0.081797	Consistency loss_t2:0.080775	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.062986	Resample Pool Num:204
Train Epoch:60 [batch_index:0/16]	Loss1:0.153459	Loss2:0.183021	Discrepancy:0.041599	Consistency weight:1.000000	Consistency loss_t1:0.080835	Consistency loss_t2:0.076561	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.075021	Resample Pool Num:188
Train Epoch:61 [batch_index:0/16]	Loss1:0.216182	Loss2:0.149840	Discrepancy:0.038888	Consistency weight:1.000000	Consistency loss_t1:0.081627	Consistency loss_t2:0.080735	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.069354	Resample Pool Num:183
Train Epoch:62 [batch_index:0/16]	Loss1:0.169634	Loss2:0.195686	Discrepancy:0.037932	Consistency weight:1.000000	Consistency loss_t1:0.079455	Consistency loss_t2:0.076219	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.063155	Resample Pool Num:196
Train Epoch:63 [batch_index:0/16]	Loss1:0.167119	Loss2:0.168441	Discrepancy:0.038415	Consistency weight:1.000000	Consistency loss_t1:0.082313	Consistency loss_t2:0.079248	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.067669	Resample Pool Num:192
Train Epoch:64 [batch_index:0/16]	Loss1:0.213364	Loss2:0.166214	Discrepancy:0.039046	Consistency weight:1.000000	Consistency loss_t1:0.086046	Consistency loss_t2:0.082789	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.070649	Resample Pool Num:179
Train Epoch:65 [batch_index:0/16]	Loss1:0.167718	Loss2:0.148539	Discrepancy:0.037633	Consistency weight:1.000000	Consistency loss_t1:0.085325	Consistency loss_t2:0.081621	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.064848	Resample Pool Num:183
Train Epoch:66 [batch_index:0/16]	Loss1:0.179356	Loss2:0.194144	Discrepancy:0.034255	Consistency weight:1.000000	Consistency loss_t1:0.086065	Consistency loss_t2:0.082629	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.064985	Resample Pool Num:192
Train Epoch:67 [batch_index:0/16]	Loss1:0.159235	Loss2:0.177494	Discrepancy:0.034986	Consistency weight:1.000000	Consistency loss_t1:0.086290	Consistency loss_t2:0.083427	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.067364	Resample Pool Num:185
Train Epoch:68 [batch_index:0/16]	Loss1:0.133891	Loss2:0.108791	Discrepancy:0.039331	Consistency weight:1.000000	Consistency loss_t1:0.083083	Consistency loss_t2:0.085156	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.058135	Resample Pool Num:181
Train Epoch:69 [batch_index:0/16]	Loss1:0.167693	Loss2:0.194810	Discrepancy:0.038646	Consistency weight:1.000000	Consistency loss_t1:0.083116	Consistency loss_t2:0.084940	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.059342	Resample Pool Num:173
Train Epoch:70 [batch_index:0/16]	Loss1:0.121828	Loss2:0.167984	Discrepancy:0.040558	Consistency weight:1.000000	Consistency loss_t1:0.080345	Consistency loss_t2:0.078233	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.057733	Resample Pool Num:190
Train Epoch:71 [batch_index:0/16]	Loss1:0.154686	Loss2:0.100984	Discrepancy:0.044703	Consistency weight:1.000000	Consistency loss_t1:0.081915	Consistency loss_t2:0.079691	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.066903	Resample Pool Num:172
Train Epoch:72 [batch_index:0/16]	Loss1:0.153194	Loss2:0.126040	Discrepancy:0.030907	Consistency weight:1.000000	Consistency loss_t1:0.081957	Consistency loss_t2:0.088137	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.072700	Resample Pool Num:179
Train Epoch:73 [batch_index:0/16]	Loss1:0.130753	Loss2:0.160379	Discrepancy:0.035116	Consistency weight:1.000000	Consistency loss_t1:0.086304	Consistency loss_t2:0.087627	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.065578	Resample Pool Num:179
Train Epoch:74 [batch_index:0/16]	Loss1:0.134658	Loss2:0.165711	Discrepancy:0.038256	Consistency weight:1.000000	Consistency loss_t1:0.083246	Consistency loss_t2:0.086808	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.065457	Resample Pool Num:176
Train Epoch:75 [batch_index:0/16]	Loss1:0.118663	Loss2:0.107148	Discrepancy:0.030515	Consistency weight:1.000000	Consistency loss_t1:0.087364	Consistency loss_t2:0.089417	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.063360	Resample Pool Num:179
Train Epoch:76 [batch_index:0/16]	Loss1:0.142213	Loss2:0.116873	Discrepancy:0.037706	Consistency weight:1.000000	Consistency loss_t1:0.077833	Consistency loss_t2:0.080508	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.067289	Resample Pool Num:173
Train Epoch:77 [batch_index:0/16]	Loss1:0.144152	Loss2:0.142463	Discrepancy:0.037325	Consistency weight:1.000000	Consistency loss_t1:0.084336	Consistency loss_t2:0.090164	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.065361	Resample Pool Num:170
Train Epoch:78 [batch_index:0/16]	Loss1:0.106398	Loss2:0.130966	Discrepancy:0.033512	Consistency weight:1.000000	Consistency loss_t1:0.090333	Consistency loss_t2:0.089650	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.069273	Resample Pool Num:162
Train Epoch:79 [batch_index:0/16]	Loss1:0.138631	Loss2:0.121509	Discrepancy:0.034614	Consistency weight:1.000000	Consistency loss_t1:0.086461	Consistency loss_t2:0.084167	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.073505	Resample Pool Num:150
Train Epoch:80 [batch_index:0/16]	Loss1:0.103762	Loss2:0.089047	Discrepancy:0.035099	Consistency weight:1.000000	Consistency loss_t1:0.089746	Consistency loss_t2:0.086844	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.061824	Resample Pool Num:166
Train Epoch:81 [batch_index:0/16]	Loss1:0.088437	Loss2:0.078952	Discrepancy:0.030769	Consistency weight:1.000000	Consistency loss_t1:0.089512	Consistency loss_t2:0.090237	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.061393	Resample Pool Num:163
Train Epoch:82 [batch_index:0/16]	Loss1:0.118676	Loss2:0.110377	Discrepancy:0.034389	Consistency weight:1.000000	Consistency loss_t1:0.089197	Consistency loss_t2:0.089043	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.063299	Resample Pool Num:165
Train Epoch:83 [batch_index:0/16]	Loss1:0.105961	Loss2:0.096785	Discrepancy:0.035448	Consistency weight:1.000000	Consistency loss_t1:0.086740	Consistency loss_t2:0.089493	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.070773	Resample Pool Num:185
Train Epoch:84 [batch_index:0/16]	Loss1:0.118820	Loss2:0.091919	Discrepancy:0.035007	Consistency weight:1.000000	Consistency loss_t1:0.088446	Consistency loss_t2:0.087087	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.062133	Resample Pool Num:160
Train Epoch:85 [batch_index:0/16]	Loss1:0.161654	Loss2:0.121490	Discrepancy:0.033362	Consistency weight:1.000000	Consistency loss_t1:0.088930	Consistency loss_t2:0.089697	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.063723	Resample Pool Num:157
Train Epoch:86 [batch_index:0/16]	Loss1:0.082542	Loss2:0.069449	Discrepancy:0.032725	Consistency weight:1.000000	Consistency loss_t1:0.093442	Consistency loss_t2:0.090686	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.062341	Resample Pool Num:164
Train Epoch:87 [batch_index:0/16]	Loss1:0.118654	Loss2:0.150365	Discrepancy:0.032127	Consistency weight:1.000000	Consistency loss_t1:0.089914	Consistency loss_t2:0.090619	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.065836	Resample Pool Num:144
Train Epoch:88 [batch_index:0/16]	Loss1:0.085812	Loss2:0.084752	Discrepancy:0.032494	Consistency weight:1.000000	Consistency loss_t1:0.093862	Consistency loss_t2:0.090884	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.062025	Resample Pool Num:157
Train Epoch:89 [batch_index:0/16]	Loss1:0.113446	Loss2:0.111474	Discrepancy:0.034404	Consistency weight:1.000000	Consistency loss_t1:0.089927	Consistency loss_t2:0.093000	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.063772	Resample Pool Num:167
Train Epoch:90 [batch_index:0/16]	Loss1:0.075178	Loss2:0.101785	Discrepancy:0.030499	Consistency weight:1.000000	Consistency loss_t1:0.093854	Consistency loss_t2:0.094564	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.071055	Resample Pool Num:169
