Namespace(all_use=False, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record\\mnist_usps_not_all\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=True, optimizer='adam', rampup_length=30, resume_epoch=0, save_epoch_interval=20, save_model=True, seed=1, source='mnist', source_loader='mcd', supplementary_info='solver_fixed.py', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency=0.1, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:1 [batch_index:0/16]	Loss1:2.417916	Loss2:2.434205	Discrepancy:0.059314	Consistency weight:0.006738	Consistency loss_t1:0.002856	Consistency loss_t2:0.003131	Discrepancy_Resample Weight:0.006738	Resample Discrepancy0.000000	Resample Pool Num:114
Train Epoch:2 [batch_index:0/16]	Loss1:2.334781	Loss2:2.233390	Discrepancy:0.056987	Consistency weight:0.009351	Consistency loss_t1:0.005366	Consistency loss_t2:0.005238	Discrepancy_Resample Weight:0.009351	Resample Discrepancy0.053451	Resample Pool Num:1623
Train Epoch:3 [batch_index:0/16]	Loss1:2.108017	Loss2:2.104373	Discrepancy:0.057784	Consistency weight:0.012835	Consistency loss_t1:0.004915	Consistency loss_t2:0.004151	Discrepancy_Resample Weight:0.012835	Resample Discrepancy0.052684	Resample Pool Num:1584
Train Epoch:4 [batch_index:0/16]	Loss1:1.941901	Loss2:1.974617	Discrepancy:0.054077	Consistency weight:0.017422	Consistency loss_t1:0.004840	Consistency loss_t2:0.004821	Discrepancy_Resample Weight:0.017422	Resample Discrepancy0.054247	Resample Pool Num:1492
Train Epoch:5 [batch_index:0/16]	Loss1:1.791224	Loss2:1.823841	Discrepancy:0.055526	Consistency weight:0.023387	Consistency loss_t1:0.005817	Consistency loss_t2:0.005127	Discrepancy_Resample Weight:0.023387	Resample Discrepancy0.055399	Resample Pool Num:1403
Train Epoch:6 [batch_index:0/16]	Loss1:1.732411	Loss2:1.725223	Discrepancy:0.056826	Consistency weight:0.031048	Consistency loss_t1:0.006600	Consistency loss_t2:0.005379	Discrepancy_Resample Weight:0.031048	Resample Discrepancy0.055771	Resample Pool Num:1262
Train Epoch:7 [batch_index:0/16]	Loss1:1.637364	Loss2:1.730286	Discrepancy:0.056446	Consistency weight:0.040762	Consistency loss_t1:0.007027	Consistency loss_t2:0.006198	Discrepancy_Resample Weight:0.040762	Resample Discrepancy0.055022	Resample Pool Num:1209
Train Epoch:8 [batch_index:0/16]	Loss1:1.487622	Loss2:1.512101	Discrepancy:0.056984	Consistency weight:0.052925	Consistency loss_t1:0.009209	Consistency loss_t2:0.008338	Discrepancy_Resample Weight:0.052925	Resample Discrepancy0.055983	Resample Pool Num:1083
Train Epoch:9 [batch_index:0/16]	Loss1:1.421744	Loss2:1.406156	Discrepancy:0.062344	Consistency weight:0.067956	Consistency loss_t1:0.011525	Consistency loss_t2:0.010109	Discrepancy_Resample Weight:0.067956	Resample Discrepancy0.059179	Resample Pool Num:997
Train Epoch:10 [batch_index:0/16]	Loss1:1.229552	Loss2:1.289483	Discrepancy:0.059327	Consistency weight:0.086294	Consistency loss_t1:0.011604	Consistency loss_t2:0.010117	Discrepancy_Resample Weight:0.086294	Resample Discrepancy0.060817	Resample Pool Num:902
Train Epoch:11 [batch_index:0/16]	Loss1:1.282540	Loss2:1.247085	Discrepancy:0.059892	Consistency weight:0.108368	Consistency loss_t1:0.014470	Consistency loss_t2:0.013547	Discrepancy_Resample Weight:0.108368	Resample Discrepancy0.061219	Resample Pool Num:849
