Namespace(all_use=False, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record\\mnist_usps_not_all\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=True, optimizer='adam', rampup_length=10, resume_epoch=0, save_epoch_interval=20, save_model=False, seed=1, source='mnist', source_loader='mcd', supplementary_info='solver_fixed.py', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency=0.1, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:1 [batch_index:0/16]	Loss1:2.382384	Loss2:2.388128	Discrepancy:0.034781	Consistency weight:0.006738	Consistency loss_t1:0.000873	Consistency loss_t2:0.001044	Discrepancy_Resample Weight:0.006738	Resample Discrepancy0.000000	Resample Pool Num:119
Train Epoch:2 [batch_index:0/16]	Loss1:2.256155	Loss2:2.232201	Discrepancy:0.034116	Consistency weight:0.017422	Consistency loss_t1:0.001726	Consistency loss_t2:0.001947	Discrepancy_Resample Weight:0.017422	Resample Discrepancy0.034761	Resample Pool Num:1871
Train Epoch:3 [batch_index:0/16]	Loss1:2.195067	Loss2:2.215573	Discrepancy:0.032303	Consistency weight:0.040762	Consistency loss_t1:0.001370	Consistency loss_t2:0.001467	Discrepancy_Resample Weight:0.040762	Resample Discrepancy0.032513	Resample Pool Num:3609
Train Epoch:4 [batch_index:0/16]	Loss1:2.175920	Loss2:2.109285	Discrepancy:0.033870	Consistency weight:0.086294	Consistency loss_t1:0.001277	Consistency loss_t2:0.001814	Discrepancy_Resample Weight:0.086294	Resample Discrepancy0.033128	Resample Pool Num:5239
Train Epoch:5 [batch_index:0/16]	Loss1:2.027405	Loss2:1.992420	Discrepancy:0.034572	Consistency weight:0.165299	Consistency loss_t1:0.001653	Consistency loss_t2:0.001916	Discrepancy_Resample Weight:0.165299	Resample Discrepancy0.034564	Resample Pool Num:6781
Train Epoch:6 [batch_index:0/16]	Loss1:2.005271	Loss2:1.972068	Discrepancy:0.035345	Consistency weight:0.286505	Consistency loss_t1:0.002162	Consistency loss_t2:0.002286	Discrepancy_Resample Weight:0.286505	Resample Discrepancy0.034772	Resample Pool Num:8247
Train Epoch:7 [batch_index:0/16]	Loss1:1.905981	Loss2:1.889273	Discrepancy:0.036140	Consistency weight:0.449329	Consistency loss_t1:0.002634	Consistency loss_t2:0.002835	Discrepancy_Resample Weight:0.449329	Resample Discrepancy0.034820	Resample Pool Num:9555
Train Epoch:8 [batch_index:0/16]	Loss1:1.834078	Loss2:1.759295	Discrepancy:0.037415	Consistency weight:0.637628	Consistency loss_t1:0.002644	Consistency loss_t2:0.003275	Discrepancy_Resample Weight:0.637628	Resample Discrepancy0.036968	Resample Pool Num:10779
Train Epoch:9 [batch_index:0/16]	Loss1:1.732019	Loss2:1.772645	Discrepancy:0.040375	Consistency weight:0.818731	Consistency loss_t1:0.003189	Consistency loss_t2:0.004135	Discrepancy_Resample Weight:0.818731	Resample Discrepancy0.039345	Resample Pool Num:11893
Train Epoch:10 [batch_index:0/16]	Loss1:1.679468	Loss2:1.638961	Discrepancy:0.042803	Consistency weight:0.951229	Consistency loss_t1:0.004485	Consistency loss_t2:0.005611	Discrepancy_Resample Weight:0.951229	Resample Discrepancy0.039787	Resample Pool Num:12937
Train Epoch:11 [batch_index:0/16]	Loss1:1.677404	Loss2:1.625933	Discrepancy:0.042166	Consistency weight:1.000000	Consistency loss_t1:0.005420	Consistency loss_t2:0.006212	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.041859	Resample Pool Num:13889
Train Epoch:12 [batch_index:0/16]	Loss1:1.594415	Loss2:1.602020	Discrepancy:0.046232	Consistency weight:1.000000	Consistency loss_t1:0.006249	Consistency loss_t2:0.006889	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.043635	Resample Pool Num:14786
Train Epoch:13 [batch_index:0/16]	Loss1:1.457615	Loss2:1.433499	Discrepancy:0.045144	Consistency weight:1.000000	Consistency loss_t1:0.007470	Consistency loss_t2:0.007194	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.043696	Resample Pool Num:15641
Train Epoch:14 [batch_index:0/16]	Loss1:1.486820	Loss2:1.446835	Discrepancy:0.048257	Consistency weight:1.000000	Consistency loss_t1:0.008515	Consistency loss_t2:0.009224	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.046722	Resample Pool Num:16441
Train Epoch:15 [batch_index:0/16]	Loss1:1.453373	Loss2:1.407606	Discrepancy:0.047396	Consistency weight:1.000000	Consistency loss_t1:0.011437	Consistency loss_t2:0.009660	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.047167	Resample Pool Num:17212
Train Epoch:16 [batch_index:0/16]	Loss1:1.241212	Loss2:1.226154	Discrepancy:0.049487	Consistency weight:1.000000	Consistency loss_t1:0.011164	Consistency loss_t2:0.009976	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.052723	Resample Pool Num:17964
Train Epoch:17 [batch_index:0/16]	Loss1:1.236524	Loss2:1.208002	Discrepancy:0.050613	Consistency weight:1.000000	Consistency loss_t1:0.011778	Consistency loss_t2:0.012173	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.053031	Resample Pool Num:18669
Train Epoch:18 [batch_index:0/16]	Loss1:1.157494	Loss2:1.164622	Discrepancy:0.051106	Consistency weight:1.000000	Consistency loss_t1:0.012730	Consistency loss_t2:0.014793	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.057740	Resample Pool Num:19335
Train Epoch:19 [batch_index:0/16]	Loss1:1.162305	Loss2:1.107976	Discrepancy:0.057611	Consistency weight:1.000000	Consistency loss_t1:0.014558	Consistency loss_t2:0.015058	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.056059	Resample Pool Num:19965
Train Epoch:20 [batch_index:0/16]	Loss1:1.135690	Loss2:1.033071	Discrepancy:0.058964	Consistency weight:1.000000	Consistency loss_t1:0.018891	Consistency loss_t2:0.016860	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.056891	Resample Pool Num:20608
Train Epoch:21 [batch_index:0/16]	Loss1:1.093628	Loss2:1.075899	Discrepancy:0.052283	Consistency weight:1.000000	Consistency loss_t1:0.017615	Consistency loss_t2:0.018537	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.053175	Resample Pool Num:21202
Train Epoch:22 [batch_index:0/16]	Loss1:1.056947	Loss2:0.849990	Discrepancy:0.057047	Consistency weight:1.000000	Consistency loss_t1:0.020267	Consistency loss_t2:0.021257	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.054920	Resample Pool Num:21796
Train Epoch:23 [batch_index:0/16]	Loss1:0.967336	Loss2:0.926416	Discrepancy:0.056003	Consistency weight:1.000000	Consistency loss_t1:0.021028	Consistency loss_t2:0.023682	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.057642	Resample Pool Num:22328
Train Epoch:24 [batch_index:0/16]	Loss1:0.930054	Loss2:0.895752	Discrepancy:0.059568	Consistency weight:1.000000	Consistency loss_t1:0.023333	Consistency loss_t2:0.023284	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.062757	Resample Pool Num:22866
Train Epoch:25 [batch_index:0/16]	Loss1:0.850995	Loss2:0.910252	Discrepancy:0.061241	Consistency weight:1.000000	Consistency loss_t1:0.025856	Consistency loss_t2:0.025066	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.056271	Resample Pool Num:23398
