Namespace(all_use=False, backbone='default', batch_interval=100, batch_size=128, checkpoint='checkpoint', checkpoint_dir='exp_record\\mnist_usps_not_all\\checkpoint', cuda=True, ensemble_alpha=0.8, eval_only=False, grl_coefficient_upper=1.0, image_size=32, lr=0.0002, max_epoch=200, mixup_beta=0.5, no_cuda=False, num_classes=10, num_k=4, one_step=True, optimizer='adam', rampup_length=10, resume_epoch=0, save_epoch_interval=20, save_model=False, seed=1, source='mnist', source_loader='mcd', supplementary_info='', target='usps', target_loader='mcd', use_abs_diff=False, weight_consistency=0.1, weight_consistency_upper=1.0, weight_discrepancy_upper=1.0)
Train Epoch:21 [batch_index:0/16]	Loss1:1.037808	Loss2:0.973944	Discrepancy:0.055398	Consistency weight:1.000000	Consistency loss_t1:0.017626	Consistency loss_t2:0.018031	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.059191	Resample Pool Num:21848
Train Epoch:22 [batch_index:0/16]	Loss1:1.053858	Loss2:1.051619	Discrepancy:0.058313	Consistency weight:1.000000	Consistency loss_t1:0.016658	Consistency loss_t2:0.017886	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.058923	Resample Pool Num:22461
Train Epoch:23 [batch_index:0/16]	Loss1:0.894934	Loss2:0.935332	Discrepancy:0.061505	Consistency weight:1.000000	Consistency loss_t1:0.021435	Consistency loss_t2:0.020396	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.059128	Resample Pool Num:23070
Train Epoch:24 [batch_index:0/16]	Loss1:0.956408	Loss2:0.835163	Discrepancy:0.059175	Consistency weight:1.000000	Consistency loss_t1:0.021484	Consistency loss_t2:0.023416	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.060599	Resample Pool Num:23642
Train Epoch:25 [batch_index:0/16]	Loss1:0.802649	Loss2:0.769724	Discrepancy:0.064092	Consistency weight:1.000000	Consistency loss_t1:0.024124	Consistency loss_t2:0.023989	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.061240	Resample Pool Num:24183
Train Epoch:26 [batch_index:0/16]	Loss1:0.830430	Loss2:0.827988	Discrepancy:0.064927	Consistency weight:1.000000	Consistency loss_t1:0.024395	Consistency loss_t2:0.025222	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.062945	Resample Pool Num:24687
Train Epoch:27 [batch_index:0/16]	Loss1:0.842500	Loss2:0.739047	Discrepancy:0.063509	Consistency weight:1.000000	Consistency loss_t1:0.027975	Consistency loss_t2:0.028149	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.056797	Resample Pool Num:25192
Train Epoch:28 [batch_index:0/16]	Loss1:0.709983	Loss2:0.743295	Discrepancy:0.060545	Consistency weight:1.000000	Consistency loss_t1:0.030029	Consistency loss_t2:0.027028	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.058906	Resample Pool Num:25683
Train Epoch:29 [batch_index:0/16]	Loss1:0.714382	Loss2:0.675277	Discrepancy:0.064569	Consistency weight:1.000000	Consistency loss_t1:0.030103	Consistency loss_t2:0.030937	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.057428	Resample Pool Num:26150
Train Epoch:30 [batch_index:0/16]	Loss1:0.643137	Loss2:0.671471	Discrepancy:0.059333	Consistency weight:1.000000	Consistency loss_t1:0.033610	Consistency loss_t2:0.032969	Discrepancy_Resample Weight:1.000000	Resample Discrepancy0.057268	Resample Pool Num:26610
